artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,genre,tags_humeur,tags_activité
Manu Chao,Bongo Bong,00SmB7n85SKROGjybsyq5i,68,0.944,0.755,158427,0.545,0.000118,0.144,-10.027,0.0646,149.807,4/4,0.964,variété française,#joyeux,#dance/#fête
Mylène Farmer,Désenchantée,01ugCDMaqFgnjKtXl0O2CE,34,0.0019,0.614,322760,0.655,0.126,0.0844,-11.744,0.0297,125.905,4,0.342,variété française,#energique,#dance/#fête
Daft Punk,Superheroes / Human After All / Rock'n Roll,029O4HWI1pVXLfFdfQd1Jb,45,4.48e-05,0.487,341107,0.723,0.383,0.819,-11.148,0.143,138.007,4/4,0.391,variété française,#energique,#sport/#cardio
Daniel Lavoie,À boire ! - Live,039VlTNI7azq5YaNTehzdp,8,0.84,0.322,93627,0.188,0.00175,0.115,-16.733,0.0395,65.949,4/4,0.276,variété française,#energique,#meditation/#yoga
Georges Brassens,Chanson pour l'auvergnat,03i4HQaxKuef4sNUTB3txK,32,0.895,0.576,184267,0.151,0.0,0.118,-13.329,0.262,200.772,3/4,0.744,variété française,#energique,#dance/#fête
Daft Punk,The Son of Flynn - Remixed by Moby,03uOJUuuTgaFFI1Efal1no,41,0.565,0.634,392293,0.856,0.914,0.294,-7.474,0.0311,106.005,4/4,0.204,variété française,#triste,#dance/#fête
Mylène Farmer,À tout jamais,048gupABMSEZEm1UEkxbTP,57,0.231,0.638,226000,0.689,0.000116,0.0974,-5.451,0.0363,117.029,4,0.0913,variété française,#triste,#dance/#fête
Daniel Lavoie,Le procès - Live,0623fWtbREePHHA3wptHHa,7,0.665,0.418,89387,0.493,0.0,0.492,-8.962,0.0342,171.212,3/4,0.0723,variété française,#triste,#sport/#cardio
Daft Punk,Steam Machine,07KtTNn0wZndtN5NOYdBWR,35,5.07e-05,0.518,321187,0.745,0.802,0.229,-6.787,0.212,92.07,4/4,0.549,variété française,#energique,#dance/#fête
Julien Clerc,Partir,07qMAL1gIEMLIES4c13fXH,33,0.486,0.345,343933,0.879,0.000761,0.113,-5.602,0.0966,116.698,4,0.429,variété française,#energique,#sport/#cardio
Daft Punk,The Game Has Changed,08DBDmvEgY2ZTVMVH2A8lt,49,0.451,0.543,205480,0.509,0.734,0.112,-14.745,0.0418,99.974,4/4,0.0694,variété française,#triste,#dance/#fête
Daft Punk,High Life,098ttCNmncrO4YvqWUNMvn,53,0.00445,0.653,201800,0.869,0.398,0.334,-9.393,0.216,125.202,4/4,0.515,variété française,#energique,#dance/#fête
Yael Naim,New Soul,09nEPqqMCJ5gNioi7M2dth,59,0.748,0.582,225105,0.371,9.19e-05,0.122,-8.519,0.0525,200.085,4,0.604,variété française,#energique,#dance/#fête
