Unnamed: 0,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,time_signature_clean,genre_group,artist_normalized,genre_simplifié,origine
38149.0,paula cole,i don't want to wait,5MDQNJ7SZTytJwCbWKqJDL,62,0.298,0.41,320027,0.468,1.19e-05,B,0.0426,-8.177,Major,0.0553,177.508,4,0.475,4.0,Autres,paula cole,jazz/blues,origine_historique
37124.0,mellow fellow,how was your day?,2E01rRrzaz6TuwCdm27m4m,62,0.0472,0.447,188787,0.442,0.000559,G#,0.331,-11.221,Minor,0.0471,159.967,4,0.776,4.0,Autres,mellow fellow,jazz/blues,origine_historique
81461.0,marcell,takkan terganti,0T4t1PywlNmJGcveGH5spB,63,0.704,0.358,241763,0.275,1.04e-06,F,0.11,-8.324,Minor,0.0277,103.581,4,0.117,4.0,Autres,marcell,jazz/blues,origine_historique
29.0,giacomo puccini,"""nessun dorma!""",74WjYdm3Lvbwnds4thYPUU,63,0.961,0.171,180933,0.308,0.00546,D,0.319,-12.383,Major,0.0456,171.798,5,0.0889,5.0,Autres,giacomo puccini,jazz/blues,origine_historique
37015.0,david crowder band,how he loves,6WSFMa721PvfnspCRsGOMh,63,0.0167,0.217,318693,0.466,2.58e-05,C,0.152,-6.156,Major,0.0346,149.398,3,0.173,3.0,Autres,david crowder band,jazz/blues,origine_historique
10527.0,kendrick lamar,blood.,1n4jwRVXdkK2U34nBDUKKT,63,0.142,0.357,118067,0.238,0.0859,G#,0.55,-16.78,Minor,0.265,156.907,4,0.494,4.0,Autres,kendrick lamar,jazz/blues,origine_historique
89558.0,daniel caesar,transform (feat. charlotte day wilson),1jQfgl9WRle7D8a3GXLwaD,63,0.511,0.498,280587,0.292,1.9e-05,F,0.256,-10.656,Major,0.031,68.963,4,0.348,4.0,Autres,daniel caesar,jazz/blues,origine_historique
258.0,otis redding,(sittin' on) the dock of the bay,50uGbeaQIxKiSc7jvRTjWx,63,0.726,0.486,166827,0.312,1.59e-06,D,0.0601,-13.522,Major,0.0533,205.917,4,0.598,4.0,Autres,otis redding,jazz/blues,origine_historique
35419.0,lana del rey,heroin,7lSdUlVf8k6kxklKkskb1m,63,0.556,0.352,355184,0.41,0.0113,B,0.114,-8.796,Minor,0.0388,118.721,4,0.0952,4.0,Autres,lana del rey,jazz/blues,origine_historique
38476.0,lee ann womack,i hope you dance,65B1tEOv5W294uCKbmEcFV,63,0.0524,0.416,294533,0.446,0.0,G,0.0891,-9.557,Minor,0.0291,151.328,4,0.278,4.0,Autres,lee ann womack,jazz/blues,origine_historique
99206.0,tom odell,you're gonna break my heart tonight,5y9b65dSxULwCiQRLgzO21,63,0.784,0.287,278766,0.292,0.000723,F,0.0879,-8.32,Minor,0.028,86.736,4,0.142,4.0,Autres,tom odell,jazz/blues,origine_historique
39800.0,céline dion,i'm alive,3qjXFLKMp4zfMmugEGPaBx,63,0.0247,0.691,210227,0.64,5.24e-06,G#,0.2,-5.087,Major,0.0384,101.991,4,0.452,4.0,Variété Française,celine dion,variété française,origine_historique
99428.0,scott hamilton,young and foolish,2ncnr8AuzqAabOGEIoA863,63,0.965,0.456,330615,0.276,0.0525,F,0.0775,-7.419,Major,0.0316,103.335,4,0.157,4.0,Autres,scott hamilton,jazz/blues,origine_historique
33827.0,vampire weekend,hannah hunt,3t87C08isN6yw2DnWOorLm,63,0.717,0.345,237973,0.313,0.000822,E,0.1,-10.098,Major,0.0681,207.969,4,0.164,4.0,Autres,vampire weekend,jazz/blues,origine_historique
